simple_date,year,steps,mins_asleep,efficiency
2011-07-28,2011,10195,415,92
2011-07-29,2011,18348,479,94
2011-07-30,2011,19248,362,99
2011-07-31,2011,12796,446,93
2011-08-01,2011,17579,495,100
2011-08-02,2011,17521,433,93
2011-08-03,2011,26129,386,96
2011-08-04,2011,23899,458,95
2011-08-05,2011,16785,440,100
2011-08-06,2011,20766,479,94
2011-08-07,2011,6110,451,89
2011-08-08,2011,17487,497,94
2011-08-09,2011,19163,530,90
2011-08-10,2011,22435,395,92
2011-08-11,2011,15893,392,87
2011-08-12,2011,18603,473,93
2011-08-13,2011,12366,422,89
2011-08-14,2011,18142,398,94
2011-08-15,2011,20059,327,92
2011-08-16,2011,17571,525,92
2011-08-17,2011,16159,451,100
2011-08-18,2011,15842,446,91
2011-08-19,2011,19849,452,90
2011-08-19,2011,19849,452,90
2011-08-20,2011,7886,430,93
2011-08-21,2011,15870,521,93
2011-08-22,2011,14574,433,100
2011-08-23,2011,15847,451,100
2011-08-24,2011,5921,486,89
2011-08-25,2011,11195,445,100
2011-08-26,2011,12245,469,100
2011-09-03,2011,12424,501,89
2011-09-04,2011,19565,446,91
2011-09-05,2011,14838,500,93
2011-09-06,2011,16902,486,92
2011-09-07,2011,21283,451,93
2011-09-08,2011,15733,486,99
2011-09-09,2011,19666,453,93
2011-09-10,2011,14793,467,92
2011-09-11,2011,10436,493,90
2011-09-17,2011,8627,767,81
2011-09-18,2011,18118,550,93
2011-09-18,2011,18118,550,93
2011-09-19,2011,19787,493,94
2011-09-20,2011,20341,477,95
2011-09-21,2011,19043,459,96
2011-09-22,2011,17123,464,92
2011-09-23,2011,20434,411,91
2011-09-24,2011,11692,464,94
2011-09-25,2011,18034,516,92
2011-09-26,2011,20910,491,93
2011-09-27,2011,16386,423,87
2011-09-28,2011,20473,451,93
2011-09-29,2011,10306,433,96
2011-09-30,2011,20284,10,100
2011-09-30,2011,20284,471,98
2011-10-01,2011,18720,450,94
2011-10-02,2011,11521,503,94
2011-10-03,2011,18729,463,95
2011-10-04,2011,18384,484,91
2011-10-05,2011,13505,478,95
2011-10-06,2011,21951,431,89
2011-10-07,2011,17593,439,92
2011-10-08,2011,10683,511,90
2011-10-09,2011,13744,484,90
2011-10-10,2011,26768,404,88
2011-10-11,2011,18472,461,92
2011-10-12,2011,9168,414,100
2011-10-13,2011,17348,526,96
2011-10-14,2011,18738,474,91
2011-10-15,2011,20284,14,100
2011-10-15,2011,20284,481,95
2011-10-17,2011,24376,475,92
2011-10-18,2011,18920,36,100
2011-10-18,2011,18920,416,92
2011-10-18,2011,18920,36,100
2011-10-18,2011,18920,416,92
2011-10-20,2011,19562,442,97
2011-10-21,2011,16404,433,92
2011-10-22,2011,21780,469,98
2011-10-23,2011,22697,493,95
2011-10-24,2011,21359,498,98
2011-10-25,2011,19229,427,94
2011-10-27,2011,15516,351,98
2011-10-29,2011,10359,480,99
2011-10-30,2011,17615,465,94
2011-11-01,2011,21214,461,90
2011-11-02,2011,20781,452,95
2011-11-03,2011,18173,467,94
2011-11-04,2011,23046,438,97
2011-11-05,2011,13011,14,100
2011-11-05,2011,13011,319,95
2011-11-06,2011,21977,422,95
2011-11-07,2011,18668,449,98
2011-11-08,2011,19713,474,94
2011-11-09,2011,16919,481,95
2011-11-10,2011,19428,487,98
2011-11-11,2011,14057,470,92
2011-11-12,2011,21466,497,99
2011-11-13,2011,24088,453,97
2011-11-14,2011,22547,470,100
2011-11-15,2011,23194,464,98
2011-11-16,2011,19360,480,100
2011-11-17,2011,18241,557,96
2011-11-17,2011,18241,557,96
2011-11-18,2011,20395,438,97
2011-11-19,2011,15668,442,95
2011-11-20,2011,23065,399,96
2011-11-21,2011,17963,518,95
2011-11-22,2011,15284,500,100
2011-11-23,2011,16567,451,93
2011-11-24,2011,21211,474,94
2011-11-25,2011,17780,534,96
2011-11-26,2011,16604,449,94
2011-11-27,2011,18225,508,95
2011-11-28,2011,20268,481,97
2011-11-29,2011,17336,482,93
2011-11-30,2011,19884,463,94
2011-12-01,2011,15035,419,99
2011-12-02,2011,18547,487,98
2011-12-03,2011,19594,429,96
2011-12-04,2011,22550,493,97
2011-12-05,2011,22084,460,96
2011-12-09,2011,13446,417,74
2011-12-11,2011,23091,443,87
2011-12-12,2011,26190,168,49
2011-12-13,2011,21453,237,49
2011-12-14,2011,11008,276,58
2011-12-15,2011,22626,334,64
2011-12-16,2011,18722,263,62
2011-12-17,2011,23612,272,51
2011-12-17,2011,23612,272,51
2011-12-19,2011,20524,295,56
2011-12-20,2011,20732,332,59
2011-12-21,2011,15304,233,50
2011-12-22,2011,22221,261,52
2011-12-23,2011,21237,140,54
2011-12-24,2011,22403,417,82
2011-12-25,2011,12486,240,49
2011-12-26,2011,25767,270,59
2011-12-27,2011,20085,429,80
2011-12-28,2011,18367,342,77
2011-12-29,2011,18876,412,80
2011-12-30,2011,21853,256,62
2011-12-31,2011,14251,282,53
2012-01-01,2012,15220,231,51
2012-01-02,2012,20659,311,59
2012-01-03,2012,17443,299,53
2012-01-04,2012,19051,291,54
2012-01-05,2012,10397,414,82
2012-01-06,2012,23411,286,79
2012-01-08,2012,24081,370,84
2012-01-09,2012,7170,362,72
2012-01-10,2012,23531,265,63
2012-01-11,2012,18684,179,52
2012-01-12,2012,10335,280,64
2012-01-13,2012,18718,270,87
2012-01-14,2012,22487,322,62
2012-01-15,2012,22848,357,72
2012-01-16,2012,13782,288,54
2012-01-16,2012,13782,288,54
2012-01-17,2012,21981,359,82
2012-01-18,2012,20539,156,69
2012-01-19,2012,19775,353,71
2012-01-20,2012,18463,301,57
2012-01-21,2012,24176,330,74
2012-01-22,2012,19255,418,87
2012-01-23,2012,12498,354,76
2012-01-24,2012,13435,421,92
2012-01-25,2012,22433,309,86
2012-01-26,2012,22259,249,57
2012-01-27,2012,23395,440,78
2012-01-31,2012,21657,364,76
2012-02-01,2012,12196,0,0
2012-02-01,2012,12196,407,51
2012-02-03,2012,21410,397,90
2012-02-04,2012,21359,427,92
2012-02-06,2012,20516,415,79
2012-02-07,2012,21741,379,89
2012-02-08,2012,15431,389,82
2012-02-09,2012,18116,394,82
2012-02-10,2012,16154,328,68
2012-02-11,2012,22664,377,80
2012-02-12,2012,17548,385,74
2012-02-13,2012,19409,470,82
2012-02-14,2012,18302,376,89
2012-02-15,2012,16846,479,89
2012-02-15,2012,16846,479,89
2012-02-16,2012,19089,358,84
2012-02-19,2012,3467,260,63
2012-02-19,2012,3467,432,100
2012-02-21,2012,14277,407,81
2012-02-22,2012,26458,343,77
2012-02-23,2012,28379,403,79
2012-02-27,2012,17776,408,84
2012-02-28,2012,19333,434,87
2012-02-29,2012,16410,360,78
2012-03-01,2012,20820,339,87
2012-03-02,2012,19654,339,80
2012-03-07,2012,21753,409,85
2012-03-08,2012,21992,335,76
2012-03-09,2012,18468,380,86
2012-03-10,2012,8694,378,81
2012-03-12,2012,20502,282,69
2012-03-13,2012,20204,419,93
2012-03-14,2012,19014,445,91
2012-03-15,2012,20894,351,83
2012-03-16,2012,20363,372,78
2012-03-16,2012,20363,372,78
2012-03-17,2012,12844,386,75
2012-03-18,2012,24123,388,77
2012-03-19,2012,22766,451,97
2012-03-20,2012,16660,24,77
2012-03-20,2012,16660,436,81
2012-03-22,2012,16154,365,83
2012-03-23,2012,20874,205,44
2012-04-17,2012,17742,396,83
2012-04-18,2012,14038,424,81
2012-04-30,2012,16359,374,77
2012-05-02,2012,22107,271,61
2012-05-03,2012,18008,287,63
2012-05-04,2012,17032,219,46
2012-05-05,2012,22085,240,67
2012-05-06,2012,10039,250,55
2012-05-08,2012,21210,224,53
